연도,가수,앨범,제목,작사,가사
2018,방탄소년단,LOVE YOURSELF 轉 'Tear',Anpanman,"PDOGG,Supreme Boi,'Hitman' Bang,RM,SUGA,진보","Waiting for you Anpanman Waiting for you Anpanman 내겐 없지 알통이나 갑빠 내겐 없지 super car like Batman 되게 멋진 영웅이 내 낭만 But 줄 수 있는 건 오직 Anpan 꿈꿔왔네 hero like Superman 힘껏 뛰었네 하늘높이 방방 무릎팍 까지는 것 따윈 두렵지 않아 순수한 내 어릴 적의 망상 I'm not a superhero 많은 것을 바라지마 I can be your hero 이런 말이 가당키나 한 일인지 모르겠어 정말 근데 꼭 해야겠어요 엄마 내가 아니면 누가할까 You can call me say Anpan Waiting for you Anpanman (Lemme hear ya say, lemme hear ya say) Waiting for you Anpanman (Turn it up, turn it up, turn It up) 좀 더 힘을 내볼래 (Lemme hear ya say, lemme hear ya say) 너의 힘이 돼줄래 (Turn it up, turn it up, turn it up) 계속 돌려 돌려 나의 Anpan Keep ballin' ballin' still 방탄 눈 뜨니 hero but still in 미로 그 young man, young man, young man 계속 몰래 몰래 상처 만땅 But ballin' ballin' still 방탄 아파도 hero 두려움은 뒤로 Anpanman panman panman I'm a new generation Anpanman I'm a new superhero Anpanman 내가 가진 건 이 노래 한방 Lemme say ＂All the bad men, cop out＂ I'm a new generation Anpanman I'm a new superhero Anpanman 내가 가진 건 이 노래 한방 Lemme say ＂All the bad men, cop out＂ 가끔은 이 모든 게 두렵네 사랑하는 게 넘 많이 생겼기에 누군 말해 너도 이제 꼰대 다 됐으 자격 없어 그냥 하던 거나 잘 해 그래도 난 영웅이고파 줄 수 있는 건 단팥빵 과 수고했단 말뿐이다만 부름 바로 날라갈게 날 불러줘 Waiting for you Anpanman (Lemme hear ya say, lemme hear ya say) Waiting for you Anpanman (Turn it up, turn it up, turn it up) 좀 더 힘을 내볼래 (Lemme hear ya say, lemme hear ya say) 너의 힘이 돼줄래 (Turn it up, turn it up, turn it up) 계속 돌려 돌려 나의 Anpan Keep ballin' ballin' still 방탄 눈 뜨니 hero but still in 미로 그 young man, young man, young man 계속 몰래 몰래 상처 만땅 But ballin' ballin' still 방탄 아파도 hero 두려움은 뒤로 Anpanman panman panman 솔직하게 무서워 넘어지는 게 너희들을 실망시키는 게 그래도 내 온 힘을 다해서라도 나 꼭 너의 곁에 있을게 다시 넘어지겠지만 또다시 실수 하겠지만 또 진흙투성이겠지만 나를 믿어 나는 hero니까 Yeah yeah 돌려 돌려 나의 Anpan Keep ballin' ballin' still 방탄 눈 뜨니 hero but still in 미로 그 young man, young man, young man 계속 몰래 몰래 상처 만땅 But ballin' ballin' still 방탄 아파도 hero 두려움은 뒤로 Anpanman panman panman I'm a new generation Anpanman I'm a new superhero Anpanman 내가 가진 건 이 노래 한방 Lemme say ＂All the bad men, cop out＂ I'm a new generation Anpanman I'm a new superhero Anpanman 내가 가진 건 이 노래 한방 Lemme say ＂All the bad men, cop out＂"
2018,방탄소년단,LOVE YOURSELF 轉 'Tear',So What,"PDOGG,'Hitman' Bang,ADORA,RM,SUGA,j-hope",Somebody call me right one Somebody call me wrong 난 신경 쓰지 않을래 너도 그럼 어때 So what Let go 한숨 그 안에 많은 걱정이 숨어있네 고민 그만해 너는 이미 다 알고 있지 이 길의 중간에 포기하고 싶은 순간에 더 크게 소리질러봐 So what what what 내 맘대로 되는 건 없고 숨을 곳은 뭐 더더욱 없어 이미 주사윈 던져진 지 오래 꾸물대단 휩쓸려가겠지 oh bae 고민들의 9할은 니가 만들어 낸 상상의 늪 고민보다 Go Go 쫄지마렴 cheer up 소리쳐봐 So what what We are we are we are Young & wild & free 답도 없는 고민 고민 그 속에 빠져 있지 마 경계선 위에서 위태롭다 해도 웃고 떠들며 바람을 가르자 때론 바보같이 멍청이 달리기 실수와 눈물 속에 we just go So what 멈춰서 고민 하지마 다 쓸데 없어 Let go 아직은 답이 없지만 You can start the fight So what Oh oh oh oh oh oh oh oh oh oh Oh oh oh oh oh oh Let go Oh oh oh oh oh oh oh oh oh oh Oh oh oh oh oh oh So what Ay 누군 일들이 싫대 Ay 누군 쉬고만 싶대 Ay 그들의 고통과 피폐 Ay 모두 내게 몰아칠 때 Ay 어떡하긴 뭐 어떡해 uh 답은 하나밖에 없기에 uh 그냥 믿고 달려보자고 So what? I don't wanna die right now I don't wanna I don't wanna fight right now 걱정이 싫어 인생은 길어 걍 가. I wanna live right now 브레이크 부러졌으니 밟아 엑셀 이러나 저러나 사람 신세 다 안다면 무슨 재미냐 고통은 내 훈장 그래서 So what? We are we are we are Young & wild & free 답도 없는 고민 고민 그 속에 빠져 있지 마 경계선 위에서 위태롭다 해도 웃고 떠들며 바람을 가르자 때론 바보같이 멍청이 달리기 실수와 눈물 속에 we just go So what 멈춰서 고민 하지마 다 쓸데 없어 Let go 아직은 답이 없지만 You can start the fight So what Oh oh oh oh oh oh oh oh oh oh Oh oh oh oh oh oh Let go Oh oh oh oh oh oh oh oh oh oh Oh oh oh oh oh oh Somebody call me right one Somebody call me wrong 난 신경 쓰지 않을래 너도 그럼 어때 So what 멈춰서 고민 하지마 다 쓸데 없어 Let go 아직은 답이 없지만 You can start the fight So what Oh oh oh oh oh oh oh oh oh oh Oh oh oh oh oh oh Let go Oh oh oh oh oh oh oh oh oh oh Oh oh oh oh oh oh So what Somebody call me right one Somebody call me wrong 난 신경 쓰지 않을래 너도 그럼 어때
2018,방탄소년단,LOVE YOURSELF 轉 'Tear',Outro : Tear,"신명수,Docskim,SUGA,RM,j-hope","이별은 내게 티어 나도 모르게 내 눈가 위에 피어 채 내뱉지 못한 얘기들이 흐르고 미련이 나의 얼굴 위를 기어 내게 넌 한때는 나의 dear 하지만 이젠 쓰기만 한 beer 때늦은 자기혐오로 얼룩진 심장은 스치는 저 바람에도 비어 이별은 거짓뿐이던 나의 연극 끝에 오고야 말았던 나의 댓가 누군가 시간을 되돌려준다면 어쩜 내가 좀 더 솔직할 수 있었을까 나만 아는 나의 그 맨얼굴도 추하고 초라한 내 안의 오랜 벗들도 나를 보던 그 미소로 여전히 넌 나를 그렇게 또 사랑해줄 수 있었을까 영원 영원 같은 소리 좀 그만해 어차피 원래 끝은 있는 거잖아 시작이 있다면.. I don't wanna listen to that 너무 맞는 소리 혹은 너무 많은 위로.. I don't wanna listen to that 그냥 너무 무서웠어 어쩜 내가 너를 사랑했던 적이 아예 없는 것 같아서 늦었지만 넌 진실했다고 너만 나를 사랑했다고 더 You're my tear You're my you're my tear You're my tear You're my you're my tear You're my tear You're my you're my tear What more can I say? You're my tear 같은 곳을 향해 걸었었는데 이곳이 우리의 마지막이 돼 영원을 말하던 우리였는데 가차없이 서로를 부수네 같은 꿈을 꿨다 생각했는데 그 꿈은 비로소 꿈이 되었네 심장이 찢겨져 차라리 불 태워줘 고통과 미련 그 무엇도 남지 않게끔 You're my tear You're my you're my tear You're my tear You're my you're my tear You're my fear You're my you're my fear What more can I say? You're my.. 이별은 내게 T.E.A.R 눈물 따위는 사치니까 아름다운 이별 따위는 없을테니 이제 시작해줘 Woo take it easy 천천히 심장을 도려줘 그래그래 조각이 나버린 파편 위를 즈려밟아줘 미련, 미련 그딴 게 더는 남지 않게 갈기갈기 찢어발겨버린 내 심장을 싹 불태워줘 옳지 그래 거기야 뭘 망설이니 니가 원하던 그 결말이니 망설임 없이 어서 죽여주길 Woo yeah yeah burn it Woo yeah yeah yeah burn it Woo yeah yeah yeah burn it 타버린 재마저 남지 않게 이게 진짜 너고 이게 진짜 나야 이젠 끝을 봤고 원망도 안 남아 달던 꿈은 깼고 나는 눈을 감아 이게 진짜 너고 이게 진짜 나야 같은 곳을 향해 걸었었는데 이 곳이 우리의 마지막이 돼 영원을 말하던 우리였는데 가차없이 서로를 부수네 같은 꿈을 꿨다 생각했는데 그 꿈은 비로소 꿈이 되었네 심장이 찢겨져 차라리 불 태워줘 고통과 미련 그 무엇도 남지 않게끔 You're my tear You're my you're my tear You're my tear You're my you're my tear You're my fear You're my you're my fear What more can I say? You're my.. 어떤 말을 해야 할지 우리는 알고 있지 정답은 정해 있는데 늘 대답은 어렵지 왜 흘리는지 왜 찢어버리는지 소용없어 내게는 이별은 내겐 그 순간들뿐 (Flashback) 네 입에서 말을 하는 순간 우리의 초점이 불규칙해지는 순간 모든 게 위험한 순간에 두 글자가 준 우리의 끝 안 울 걸 안 찢을 걸 그런 말은 못 한다고. 앞으로 나도 이별 불치병 넌 내 시작과 끝 That is all 나의 만남과 나의 이별 전부였어 앞으로 가 fear 반복될 거야 너로 인한 Tear Tear.."
2018,방탄소년단,LOVE YOURSELF 結 'Answer',Euphoria,"Jordan 'DJ Swivel' Young,Candace Nicole Sosa,Melanie Fontana,'Hitman' Bang,Supreme Boi,ADORA,RM",너는 내 삶에 다시 뜬 햇빛 어린 시절 내 꿈들의 재림 모르겠어 이 감정이 뭔지 혹시 여기도 꿈속인 건지 꿈은 사막의 푸른 신기루 내 안 깊은 곳의 a priori 숨이 막힐 듯이 행복해져 주변이 점점 더 투명해져 저기 멀리서 바다가 들려 꿈을 건너서 수풀 너머로 선명해지는 그 곳으로 가 Take my hands now You are the cause of my euphoria Euphoria Take my hands now You are the cause of my euphoria Euphoria Close the door now When I'm with you I'm in utopia 너도 나처럼 지워진 꿈을 찾아 헤맸을까 운명 같은 흔한 말관 달라 아픈 너의 눈빛이 나와 같은 곳을 보는 걸 Won't you please stay in dreams 저기 멀리서 바다가 들려 꿈을 건너서 수풀 너머로 선명해지는 그 곳으로 가 Take my hands now You are the cause of my euphoria Euphoria Take my hands now You are the cause of my euphoria 모래 바닥이 갈라진대도 그 누가 이 세곌 흔들어도 잡은 손 절대 놓지 말아줘 제발 꿈에서 깨어나지 마 저기 멀리서 바다가 들려 꿈을 건너서 수풀 너머로 (제발 꿈에서 깨어나지 마) 선명해지는 그 곳으로 가 Take my hands now You are the cause of my euphoria Euphoria Take my hands now You are the cause of my euphoria Euphoria Close the door now When I'm with you I'm in utopia
2018,방탄소년단,LOVE YOURSELF 結 'Answer',Trivia 起 : Just Dance,"Hiss noise,j-hope","내게 그 순간을 묻는다면 환하게 내리쬔 sunshine 그 느낌을 묻는다면 자연스레 내 눈에 one shot 그 분위기 속 음악을 틀고 각자의 스트레칭 긴장은 풀려 지금 내 마음을 숨긴다면 후회했어 너와의 sunset Hey, dance with me dance with me 어떤 바운스도 좋아 dance with me 어디서 왔고, 왜 춤을 추고 자연스러운 대화 say something 이상해, 너무 잘 맞기에 뭐든지 잘 될 거 같아 But you're my Friend yeah my Friend Just.. 함께 하는 느낌이 좋아, 너와 함께 하는 춤들이 좋아, 너와 I just wanna, wanna, wanna I really wanna, wanna, wanna Just dance 음악의 리듬대로 그저 몸이 가는대로 우린 달빛 아래 shadow Fall in.. fall in.. 함께 하는 느낌이 좋아, 너와 함께 하는 춤들이 좋아, 너와 I just wanna, wanna, wanna I really wanna, wanna, wanna Just dance Uh 진흙 같은 내 삶 속 Uh 한 송이 너란 꽃 Uh 꽉 막힌 연습실도 Uh 함께라면 낙원으로 Ay 답도 없던 꿈도 이제 Ay 공감대 형성이 매일 돼 Ay 우리의 리듬은 맞기에 춤이 있었기에, 그 운명적인 박 Let's get it on POP 웨이브로 물결치는 감 심장의 뜀박 하나 되는 동작 너로 알아가는 지금 내 마음 계속 이어 나가고 싶은 걸 춤을 좋아했듯이, 널 So you're my love, yeah my love That's what i like 함께 하는 느낌이 좋아, 너와 함께 하는 춤들이 좋아, 너와 I just wanna, wanna, wanna I really wanna, wanna, wanna Just dance 음악의 리듬대로 그저 몸이 가는대로 우린 달빛 아래 shadow Fall in.. fall in.. 함께 하는 느낌이 좋아, 너와 함께 하는 춤들이 좋아, 너와 I just wanna, wanna, wanna I really wanna, wanna, wanna Just dance 느꼈어 baby 순간 너와 나 baby 그 모든 합이 공식같이 맞춰진 걸 baby 막연함도 baby 큰 힘듦도 baby 너 하나로 다 위로가 된다는 걸 baby 느꼈어 baby 순간 너와 나 baby 그 모든 합이 공식같이 맞춰진 걸 baby 거친 숨도 baby 흘린 땀도baby 너 하나로 다 의미가 된다는 걸 baby 함께 하는 느낌이 좋아, 너와 함께 하는 춤들이 좋아, 너와 I just wanna, wanna, wanna I really wanna, wanna, wanna Just dance"
2018,방탄소년단,LOVE YOURSELF 結 'Answer',Trivia 承 : Love,"Slow Rabbit,RM,Hiss noise","Is this love Is this love Sometimes I know Sometimes I don't 이 다음 가사 음 뭐라고 쓸까 음 너무 많은 말이 날 돌지만 내 마음 같은 게 하나 없어 그냥 느껴져 해가 뜨고 나면 꼭 달이 뜨듯이 손톱이 자라듯, 겨울이 오면 나무들이 한 올 한 올 옷을 벗듯이 넌 나의 기억을 추억으로 바꿀 사람 사람을 사랑으로 만들 사람 널 알기 전 내 심장은 온통 직선뿐이던 거야 난 그냥 사람, 사람, 사람 넌 나의 모든 모서릴 잠식 나를 사랑, 사랑, 사랑 으로 만들어 만들어 우린 사람, 사람, 사람 저 무수히 많은 직선들 속 내 사랑, 사랑, 사랑 그 위에 살짝 앉음 하트가 돼 I live so I love I live so I love (Live & love, live & love) (Live & love, live & love) I live so I love I live so I love (Live & love, live & love) (If it's love, I will love you) You make I to an O I to an O 너 땜에 알았어 왜 사람과 사랑이 비슷한 소리가 나는지 You make live to a love Live to a love 너 땜에 알았어 왜 사람이 사랑을 하며 살아가야 하는지 I와 U의 거린 멀지만 F*** JKLMNOPQRST 모든 글잘 건너 내가 네게 닿았지 봐 내와 네도 똑같은 소리가 나잖아 그렇다고 내가 넌 아니지만 너의 책장의 일부가 되고파 너의 소설에 난 참견하고파 연인으로 난 그냥 사람, 사람, 사람 넌 나의 모든 모서릴 잠식 나를 사랑, 사랑, 사랑 으로 만들어 만들어 우린 사람, 사람, 사람 저 무수히 많은 직선들 속 내 사랑, 사랑, 사랑 그 위에 살짝 앉음 하트가 돼 I live so I love I live so I love (Live & love, live & love) (Live & love, live & love) I live so I love I live so I love (Live & love, live & love) (If it's love, I will love you) 만약 내가 간다면 어떨까 내가 간다면 슬플까 넌 만약 내가 아니면 난 뭘까 결국 너도 날 떠날까 스치는 바람, 바람, 바람 (만 아니길 바랄 뿐) 흘러갈 사람, 사람, 사람 (만 아니길 바랄 뿐) 기분은 파랑, 파랑, 파랑 (머릿속은 온통 blue) 널 얼마나 마나 마나 얼마나 마나 마나 넌 나의 사람, 사람, 사람 넌 나의 바람, 바람, 바람 넌 나의 자랑, 자랑, 자랑 넌 나의 사랑 (나의 사랑) 단 한 사랑 (단 한 사랑) 넌 나의 사람, 사람, 사람 넌 나의 바람, 바람, 바람 넌 나의 자랑, 자랑, 자랑 넌 나의 사랑 (나의 사랑) 단 한 사랑 (단 한 사랑)"
2018,방탄소년단,LOVE YOURSELF 結 'Answer',Trivia 轉 : Seesaw,"Slow Rabbit,SUGA",시작은 뭐 즐거웠었네 오르락내리락 그 자체로 어느새 서로 지쳐버렸네 의미 없는 감정소모에 반복된 시소 시소게임 이쯤 되니 지겨워 지겨워 졌네 반복된 시소 시소게임 우린 서로 지쳐서 지겨워 졌네 사소한 말다툼이 시작이었을까 내가 너보다 무거워졌었던 순간 애초에 평행은 존재한 적이 없기에 더욱이 욕심내서 맞추려 했을까 사랑이었고 이게 사랑이란 단어의 자체면 굳이 반복해야 할 필요 있을까 서로 지쳤고 같은 카드를 쥐고 있는 듯해 그렇다면 뭐 All right 반복된 시소게임 이제서야 끝을 내보려 해 All right 지겨운 시소게임 누군간 여기서 내려야 돼 할 순 없지만 누가 내릴지 말진 서로 눈치 말고 그저 맘 가는 대로 질질 끌지 말고 이젠 내릴지 말지 끝을 내보자고 반복되는 시소게임 이젠 그만해 사람이 참 간사하긴 하지 한 명이 없음 다칠 걸 알면서 서로 나쁜 새낀 되기 싫기에 애매한 책임전가의 연속에 umm umm 지칠 만큼 지쳐서 되려 평행이 됐네 Ay 이런 평행을 바란 건 아닌데 처음에는 누가 더 무거운지 자랑하며 서롤 바라보며 웃지 이제는 누가 무거운지를 두고 경쟁을 하게 되었네 되려 싸움의 불씨 누군가는 결국 이곳에서 내려야 끝이 날 듯하네 가식 섞인 서롤 위하는 척 더는 말고 이젠 결정해야 돼 서로 마음이 없다면 서롤 생각 안 했다면 우리가 이리도 질질 끌었을까 이제 마음이 없다면 이 시소 위는 위험해 위험해 내 생각 더는 말고 All right 반복된 시소게임 이제서야 끝을 내보려 해 All right 지겨운 시소게임 누군간 여기서 내려야 돼 할 순 없지만 (Hol' up Hol' up) 니가 없는 이 시소 위를 걸어 (Hol' up Hol' up) 니가 없던 처음의 그때처럼 (Hol' up Hol' up) 니가 없는 이 시소 위를 걸어 (Hol' up Hol' up) 니가 없는 이 시소에서 내려 All right 반복된 시소게임 이제서야 끝을 내보려 해 All right 지겨운 시소게임 누군간 여기서 내려야 돼 할 순 없지만 누가 내릴지 말진 서로 눈치 말고 그저 맘 가는 대로 질질 끌지 말고 이젠 내릴지 말지 끝을 내보자고 반복되는 시소게임 이젠 그만해 (Hol' up Hol' up) 니가 없는 이 시소 위를 걸어 (Hol' up Hol' up) 니가 없던 처음의 그때처럼 (Hol' up Hol' up) 니가 없는 이 시소 위를 걸어 (Hol' up Hol' up) 니가 없는 이 시소에서 내려
2018,방탄소년단,LOVE YOURSELF 結 'Answer',Epiphany,"Slow Rabbit,'Hitman' Bang,ADORA",참 이상해 분명 나 너를 너무 사랑했는데 뭐든 너에게 맞추고 널 위해 살고 싶었는데 그럴수록 내 맘속의 폭풍을 감당할 수 없게 돼 웃고 있는 가면 속의 진짜 내 모습을 다 드러내 I'm the one I should love in this world 빛나는 나를 소중한 내 영혼을 이제야 깨달아 so I love me 좀 부족해도 너무 아름다운 걸 I'm the one I should love (흔들리고 두려워도 앞으로 걸어가) (폭풍 속에 숨겨뒀던 진짜 너와 만나) 왜 난 이렇게 소중한 날 숨겨두고 싶었는지 뭐가 그리 두려워 내 진짜 모습을 숨겼는지 I'm the one I should love in this world 빛나는 나를 소중한 내 영혼을 이제야 깨달아 so I love me 좀 부족해도 너무 아름다운 걸 I'm the one I should love 조금은 뭉툭하고 부족할지 몰라 수줍은 광채 따윈 안 보일지 몰라 하지만 이대로의 내가 곧 나인 걸 지금껏 살아온 내 팔과 다리 심장 영혼을 사랑하고 싶어 in this world 빛나는 나를 소중한 내 영혼을 이제야 깨달아 so I love me 좀 부족해도 너무 아름다운 걸 I'm the one I should love I'm the one I should love I'm the one I should love
2018,방탄소년단,LOVE YOURSELF 結 'Answer',I'm Fine,"PDOGG,Ray Michael Djan Jr,Ashton Foster,Lauren Dyson,RM,정바비,윤기타,Jordan 'DJ Swivel' Young,Candace Nicole Sosa,SUGA,j-hope,Samantha Harper","시리도록 푸른 하늘 아래 눈 떠 흠뻑 쏟아지는 햇살이 날 어지럽게 해 한껏 숨이 차오르고 심장은 뛰어 느껴져 너무 쉽게 나 살아있다는 걸 괜찮아 우리가 아니어도 슬픔이 날 지워도 먹구름은 또 끼고 나 끝없는 꿈 속이어도 한없이 구겨지고 날개는 찢겨지고 언젠가 내가 내가 아니게 된달지어도 괜찮아 오직 나만이 나의 구원이잖아 못된 걸음걸이로 절대 죽지 않고 살아 How you doin? Im fine 내 하늘은 맑아 모든 아픔들이여 say goodbye 잘 가 차가운 내 심장은 널 부르는 법을 잊었지만 외롭지 않은 걸 괜찮아 괜찮아 깜깜한 밤 어둠은 잠든 꿈을 흔들어 놓지만 두렵지 않은 걸 괜찮아 괜찮아 I'm feeling just fine, fine, fine 이젠 너의 손을 놓을게 I know I'm all mine, mine, mine Cuz I'm just fine I'm feeling just fine, fine, fine 더 이상은 슬프지 않을래 I could see the sunshine shine, shine Cuz I'm just fine, just fine I'm just fine 내 아픔 다 이겨낼 수 있어 너 없이 나 I'm just fine 걱정 마 이젠 웃을 수 있고 네 목소린 모두 알아 주니까 I'm so fine, you so fine 슬픔과 상처는 모두 다 이미 지나간 추억이 됐으니 웃으며 보내주자고 we so fine i'm so fine, you so fine 우리들 미래는 기쁨만 가득할 테니 걱정은 접어둔 채 이젠 즐겨 수고했어 we so fine 차가운 내 심장은 널 부르는 법을 잊었지만 외롭지 않은 걸 괜찮아 괜찮아 깜깜한 밤 어둠은 잠든 꿈을 흔들어 놓지만 두렵지 않은 걸 괜찮아 괜찮아 I'm feeling just fine, fine, fine 이젠 너의 손을 놓을게 I know I'm all mine, mine, mine Cuz I'm just fine I'm feeling just fine, fine, fine 더 이상은 슬프지 않을래 I could see the sunshine shine, shine Cuz I'm just fine, just fine 혹시 너에게도 보일까 이 스산한 달빛이 너에게도 들릴까 이 희미한 메아리가 I'm feeling just fine, fine, fine 혼자서라도 외쳐보겠어 되풀이될 이 악몽에 주문을 걸어 I'm feeling just fine, fine, fine 몇 번이라도 되뇌보겠어 또 다시 쓰러진대도 난 괜찮아 I'm feeling just fine, fine, fine 혼자서라도 외쳐보겠어 되풀이될 이 악몽에 주문을 걸어 I'm feeling just fine, fine, fine 몇 번이라도 되뇌보겠어 또 다시 쓰러진대도 난 괜찮아 I'm fine I'm fine"
2018,방탄소년단,LOVE YOURSELF 結 'Answer',IDOL,"PDOGG,Supreme Boi,'Hitman' Bang,Ali Tamposi,Roman Campolo,RM","You can call me artist You can call me idol 아님 어떤 다른 뭐라 해도 I don't care I'm proud of it 난 자유롭네 No more irony 나는 항상 나였기에 손가락질 해, 나는 전혀 신경 쓰지 않네 나를 욕하는 너의 그 이유가 뭐든 간에 I know what I am I know what I want I never gon' change I never gon' trade (Trade off) 뭘 어쩌고 저쩌고 떠들어대셔 I do what I do, 그니까 넌 너나 잘하셔 You can't stop me lovin' myself 얼쑤 좋다 You can't stop me lovin' myself 지화자 좋다 You can't stop me lovin' myself OHOHOHOH OHOHOHOHOHOH OHOHOHOH 덩기덕 쿵더러러 얼쑤 OHOHOHOH OHOHOHOHOHOH OHOHOHOH 덩기덕 쿵더러러 얼쑤 Face off 마치 오우삼, ay Top star with that spotlight, ay 때론 슈퍼히어로가 돼 돌려대 너의 Anpanman 24시간이 적지 헷갈림, 내겐 사치 I do my thang I love myself I love myself, I love my fans Love my dance and my what 내 속안엔 몇 십 몇 백명의 내가 있어 오늘 또 다른 날 맞이해 어차피 전부 다 나이기에 고민보다는 걍 달리네 Runnin' man Runnin' man Runnin' man 뭘 어쩌고 저쩌고 떠들어대셔 I do what I do, 그니까 넌 너나 잘하셔 You can't stop me lovin' myself 얼쑤 좋다 You can't stop me lovin' myself 지화자 좋다 You can't stop me lovin' myself OHOHOHOH OHOHOHOHOHOH OHOHOHOH 덩기덕 쿵더러러 얼쑤 OHOHOHOH OHOHOHOHOHOH OHOHOHOH 덩기덕 쿵더러러 얼쑤 I'm so fine wherever I go 가끔 멀리 돌아가도 It's okay I'm in love with my-my myself It's okay, 난 이 순간 행복해 얼쑤 좋다 You can't stop me lovin' myself 지화자 좋다 You can't stop me lovin' myself OHOHOHOH OHOHOHOHOHOH OHOHOHOH 덩기덕 쿵더러러 얼쑤 OHOHOHOH OHOHOHOHOHOH OHOHOHOH 덩기덕 쿵더러러 얼쑤"
2018,방탄소년단,LOVE YOURSELF 結 'Answer',Answer : Love Myself,"PDOGG,정바비,Jordan 'DJ Swivel' Young,Candace Nicole Sosa,RM,SUGA,j-hope,Ray Michael Djan Jr,Ashton Foster,Conor Maynard","눈을 뜬다 어둠 속 나 심장이 뛰는 소리 낯설 때 마주 본다 거울 속 너 겁먹은 눈빛 해묵은 질문 어쩌면 누군가를 사랑하는 것보다 더 어려운 게 나 자신을 사랑하는 거야 솔직히 인정할 건 인정하자 니가 내린 잣대들은 너에게 더 엄격하단 걸 니 삶 속의 굵은 나이테 그 또한 너의 일부, 너이기에 이제는 나 자신을 용서하자 버리기엔 우리 인생은 길어 미로 속에선 날 믿어 겨울이 지나면 다시 봄은 오는 거야 차가운 밤의 시선 초라한 날 감추려 몹시 뒤척였지만 저 수많은 별을 맞기 위해 난 떨어졌던가 저 수천 개 찬란한 화살의 과녁은 나 하나 You've shown me I have reasons I should love myself 내 숨 내 걸어온 길 전부로 답해 어제의 나 오늘의 나 내일의 나 (I'm learning how to love myself) 빠짐없이 남김없이 모두 다 나 정답은 없을지도 몰라 어쩜 이것도 답은 아닌 거야 그저 날 사랑하는 일조차 누구의 허락이 필요했던 거야 난 지금도 나를 또 찾고 있어 But 더는 죽고 싶지가 않은 걸 슬프던 me 아프던 me 더 아름다울 美 그래 그 아름다움이 있다고, 아는 마음이 나의 사랑으로 가는 길 가장 필요한 나다운 일 지금 날 위한 행보는 바로 날 위한 행동 날 위한 태도 그게 날 위한 행복 I'll show you what i got 두렵진 않아 그건 내 존재니까 Love myself 시작의 처음부터 끝의 마지막까지 해답은 오직 하나 왜 자꾸만 감추려고만 해 니 가면 속으로 내 실수로 생긴 흉터까지 다 내 별자린데 You've shown me I have reasons I should love myself 내 숨 내 걸어온 길 전부로 답해 내 안에는 여전히 서툰 내가 있지만 You've shown me I have reasons I should love myself 내 숨 내 걸어온 길 전부로 답해 어제의 나 오늘의 나 내일의 나 (I'm learning how to love myself) 빠짐없이 남김없이 모두 다 나"
2018,Steve Aoki,Waste It On Me,Waste It On Me (Feat. BTS (방탄소년단)),,"You say love is messed up You say that it don't work You don't wanna try, no no Baby I'm no stranger To heartbreak and the pain of Always being let go And I know there's no making this right, this right And I know there's no changing your mind, your mind But we both found each other tonight, tonight So if love is nothing more than just a waste of your time? Waste it on me Waste it on me (Waste it on me) Tell me why not waste it on me Waste it on me (Waste it on me) Baby me why not waste it on me Waste it on me (Waste it on me) Tell me why not waste it on me Waste it on me (Waste it on me) So we don't gotta go there Past lovers and warfare It's just you and me now I don't know your secrets But I'll pick up the pieces And pull you close to me now And I know there's no making this right, this right (Yeah) And I know there's no changing your mind, your mind (Oh) But we both found each other tonight, tonight (Oh yeah) So if love is nothing more than just a waste of your time? Waste it on me Waste it on me (Waste it on me) Tell me why not waste it on me Waste it on me (Waste it on me) Baby me why not waste it on me Waste it on me (Waste it on me) Tell me why not waste it on me Waste it on me (Waste it on me) Tell me why not Yay Don't you think there must be a reason Yeah, like we had our names Don't you think we got another season That come after spring I wanna be your summer I wanna be your wave Just treat me like a comma I'll take you to a new phrase Yeah come just eat me And throw me away If I'm not your taste babe waste Waste it on me And I know there's no making this right, this right (Yeah) And I know there's no changing your mind, your mind (Oh) But we both found each other tonight, tonight (Oh yeah) So if love is nothing more than just a waste of your time? Waste it on me Waste it on me (Waste it on me) Tell me why not waste it on me Waste it on me (Waste it on me) Baby me why not waste it on me Waste it on me (Waste it on me) Tell me why not waste it on me Waste it on me (Waste it on me) Tell me why not"
